timestamp,solar_irradiance,temperature,cloud_cover,wind_speed,humidity,clearness_index,solar_output_kwh,usage_kwh,battery_soc,is_daytime,hour_sin,hour_cos,month_sin,month_cos,safety_risk,savings_inr
01-01-2020 00:00,0,13.02,0.09,4.28,78.17,,0,0.087380174,59.13,0,0,1,0.5,0.866025404,0,0
01-01-2020 01:00,0,12.43,0,4.62,79.22,,0,0.025190423,58.87,0,0.258819045,0.965925826,0.5,0.866025404,0,0
01-01-2020 02:00,0,11.87,0,4.64,79.16,,0,0.091806278,57.96,0,0.5,0.866025404,0.5,0.866025404,0,0
01-01-2020 03:00,0,11.38,0,4.52,78.9,,0,0.070380202,57.25,0,0.707106781,0.707106781,0.5,0.866025404,0,0
01-01-2020 04:00,0,10.94,0,4.35,79.89,,0,0.060067951,56.65,0,0.866025404,0.5,0.5,0.866025404,0,0
01-01-2020 05:00,0,10.59,2.46,4.16,82.2,,0,0.410296428,52.55,0,0.965925826,0.258819045,0.5,0.866025404,0,0
01-01-2020 06:00,0,10.33,2.46,3.95,85.65,,0,0.42494829,48.3,1,1,6.12E-17,0.5,0.866025404,0,0
01-01-2020 07:00,63.35,11.17,23.62,4.49,84.11,0.37,0.057015,0.291927517,45.95,1,0.965925826,-0.258819045,0.5,0.866025404,0,0.45612
01-01-2020 08:00,236.98,13.56,41.73,4.12,76.4,0.53,0.213282,0.303052126,45.05,1,0.866025404,-0.5,0.5,0.866025404,0,1.706256
01-01-2020 09:00,401.25,17.08,60.41,4.22,67.76,0.59,0.361125,0.160943547,47.05,1,0.707106781,-0.707106781,0.5,0.866025404,0,2.889
01-01-2020 10:00,551.67,20.49,77.26,3.93,62.22,0.65,0.496503,0.17340553,50.29,1,0.5,-0.866025404,0.5,0.866025404,0,3.972024
01-01-2020 11:00,608.72,22.71,82.73,3.26,58.12,0.65,0.547848,0.250881116,53.25,1,0.258819045,-0.965925826,0.5,0.866025404,0,4.382784
01-01-2020 12:00,502.27,23.75,74.1,2.95,55,0.52,0.452043,0.252331805,55.25,1,1.22E-16,-1,0.5,0.866025404,0,3.616344
01-01-2020 13:00,464.23,24.3,94.87,2.85,52.73,0.52,0.417807,0.229643039,57.13,1,-0.258819045,-0.965925826,0.5,0.866025404,0,3.342456
01-01-2020 14:00,323.33,24.37,99.6,2.62,51.68,0.43,0.290997,0.101138006,59.03,1,-0.5,-0.866025404,0.5,0.866025404,0,2.327976
01-01-2020 15:00,203.9,23.94,99.88,2.36,52.06,0.37,0.18351,0.141009033,59.46,1,-0.707106781,-0.707106781,0.5,0.866025404,0,1.46808
01-01-2020 16:00,84.75,22.6,99.76,1.58,62.12,0.29,0.076275,0.09915456,59.23,1,-0.866025404,-0.5,0.5,0.866025404,0,0.6102
01-01-2020 17:00,7.43,20.51,99.01,1.72,66.87,0.19,0.006687,0.179023036,57.51,1,-0.965925826,-0.258819045,0.5,0.866025404,0,0.053496
01-01-2020 18:00,0,19.49,98.61,2.07,68.46,0.19,0,0.241933277,55.09,1,-1,-1.84E-16,0.5,0.866025404,0,0
01-01-2020 19:00,0,18.72,93.73,2.41,70.78,0.19,0,0.444544661,50.64,0,-0.965925826,0.258819045,0.5,0.866025404,0,0
01-01-2020 20:00,0,18.17,96.68,2.6,72.69,0.19,0,0.438551648,46.25,0,-0.866025404,0.5,0.5,0.866025404,0,0
01-01-2020 21:00,0,17.76,99.08,2.81,74.69,0.19,0,0.168089863,44.57,0,-0.707106781,0.707106781,0.5,0.866025404,0,0
